User Name,Drivers Id,Date,Policy Number,Location,Issue,Fraud,,,,,,,
May,5887815,6/21/18,5885677,Twin,Bike & Car Accident,1,,,,,,,
Mills,5878277,6/27/18,5879144,Union,Bike Accident,0,,,,,,,
Adolfo,5870203,6/13/18,5883103,Valley Grande,Cars Accident,0,,,,,,,
Alanzo,5872571,7/23/18,5885122,Vestavia Hills,Bike & Car Accident,0,,,,,,,
Antoine,5881496,7/20/18,5883870,Waldo,Bike Accident,0,,,,,,,
Ethan,5890379,7/18/18,5883823,West Jefferson,Bike Accident,0,,,,,,,
Eustace,5880624,7/23/18,5888259,West Point,Bike & Car Accident,0,,,,,,,
Ewing,5882080,7/25/18,5880092,White Hall,Bike & Car Accident,0,,,,,,,
Fernand,5882727,6/30/18,5868798,Yellow Bluff,Cars Accident,0,,,,,,,
Fisher,5882876,7/10/18,5870279,Adak,Cars Accident,1,,,,,,,
Gail,5882362,7/24/18,5876919,Akiachak,Cars Accident,1,,,,,,,
Harland,5878533,6/15/18,5890286,Akiak,Bike Accident,0,,,,,,,
Hilary,5880151,7/13/18,5889437,Akutan,Bike Accident,0,,,,,,,
Hosie,5882189,6/25/18,5889790,Alakanuk,Cars Accident,0,,,,,,,
Lemon,5885001,4/21/18,5867745,Aleknagik,Cars Accident,0,,,,,,,
Lora,5887631,5/5/18,5890258,Allakaket,Bike & Car Accident,0,,,,,,,
Marsh,5889924,7/5/18,5888139,Ambler,Bike & Car Accident,0,,,,,,,
Newman,5887837,4/13/18,5890527,Anaktuvuk Pass,Cars Accident,0,,,,,,,
Nickolas,5885856,7/18/18,5865250,Anchor Point,Bike & Car Accident,0,,,,,,,
Olie,5883856,5/30/18,5872898,Anchorage,Bike Accident,1,,,,,,,
Pearley,5857425,6/27/18,5868817,Anderson,Cars Accident,1,,,,,,,
Roman,5885453,7/17/18,5885571,Angoon,Bike & Car Accident,0,,,,,,,
Rome,5881183,7/27/18,5874136,Aniak,Cars Accident,0,,,,,,,
Rowland,5882842,5/11/18,5859642,Anvik,Cars Accident,0,,,,,,,
Shelly,5883179,6/12/18,5881824,Arctic Village,Bike & Car Accident,0,,,,,,,
Vicente,5882370,7/7/18,5890547,Atka,Bike Accident,0,,,,,,,
Weston,5865433,7/17/18,5887808,Atqasuk,Cars Accident,0,,,,,,,
Alan,5889129,7/2/18,5887870,Auke Bay,Bike & Car Accident,0,,,,,,,
Alberto,5866779,7/9/18,5890555,Barrow,Bike Accident,0,,,,,,,
Alexis,5884557,7/10/18,5886066,Beaver,Bike Accident,1,,,,,,,
Auguste,5879218,4/9/18,5884787,Bethel,Bike & Car Accident,1,,,,,,,
Bascom,5882722,7/9/18,5889051,Bettles Field,Bike & Car Accident,0,,,,,,,
Cameron,5884133,7/13/18,5887569,Big Lake,Cars Accident,0,,,,,,,
Camille,5881188,5/27/18,5887478,Brevig Mission,Cars Accident,0,,,,,,,
Clabe,5889405,4/25/18,5886055,Buckland,Cars Accident,0,,,,,,,
Cooper,5888923,7/16/18,5877737,Cantwell,Bike Accident,0,,,,,,,
Domingo,5888210,7/19/18,5882821,Central,Bike Accident,0,,,,,,,
Elwin,5889170,4/10/18,5874528,Chalkyitsik,Cars Accident,0,,,,,,,
Emilio,5889739,6/4/18,5889764,Chefornak,Cars Accident,0,,,,,,,
French,5884642,6/20/18,5889010,Chevak,Bike & Car Accident,1,,,,,,,
Gerhard,5886561,7/6/18,5870331,Chicken,Bike & Car Accident,1,,,,,,,
Hansford,5889572,6/27/18,5872215,Chignik,Cars Accident,0,,,,,,,
Jarvis,5881543,6/20/18,5879893,Chignik Lagoon,Bike & Car Accident,0,,,,,,,
Jobe,5887434,6/23/18,5873670,Chignik Lake,Bike Accident,0,,,,,,,
Josephus,5883279,6/5/18,5882883,Chitina,Cars Accident,0,,,,,,,
Landon,5868405,6/4/18,5886195,Chugiak,Bike & Car Accident,0,,,,,,,
Lennie,5871814,5/9/18,5875639,Circle,Cars Accident,0,,,,,,,
Leonidas,5885471,6/28/18,5873540,Clam Gulch,Cars Accident,0,,,,,,,
Lesley,5866324,7/6/18,5876473,Clarks Point,Bike & Car Accident,0,,,,,,,
Lillian,5888295,3/27/18,5881849,Clear,Bike Accident,1,,,,,,,
Linn,5877627,5/30/18,5881172,Coffman Cove,Cars Accident,1,,,,,,,
Littleton,5883993,5/8/18,5887755,Cold Bay,Bike & Car Accident,0,,,,,,,
Lone,5888070,6/27/18,5888670,Cooper Landing,Bike Accident,0,,,,,,,
Margarito,5890364,7/13/18,5888816,Copper Center,Bike Accident,0,,,,,,,
Mattie,5873284,5/30/18,5880918,Cordova,Bike & Car Accident,0,,,,,,,
Melton,5880800,7/12/18,5865820,Craig,Bike & Car Accident,0,,,,,,,
Ott,5885925,7/10/18,5876340,Crooked Creek,Cars Accident,0,,,,,,,
Randle,5888104,7/16/18,5882831,Deering,Cars Accident,0,,,,,,,
Seaborn,5884943,6/13/18,5864892,Delta Junction,Cars Accident,0,,,,,,,
Severt,5886286,7/25/18,5885484,Denali National Park,Bike Accident,1,,,,,,,
Steward,5886489,7/23/18,5809444,Dillingham,Bike Accident,1,,,,,,,
Sylvanus,5865084,6/27/18,5858292,Douglas,Cars Accident,0,,,,,,,
Theadore,5886339,7/25/18,5871476,Dutch Harbor,Cars Accident,0,,,,,,,
Theophile,5887423,7/6/18,5887740,Eagle,Bike & Car Accident,0,,,,,,,
Vester,5877017,6/29/18,5878045,Eagle River,Bike & Car Accident,0,,,,,,,
Wenzel,5869286,7/5/18,5865981,Eek,Cars Accident,0,,,,,,,
Alby,5887765,6/20/18,5866826,Egegik,Bike & Car Accident,0,,,,,,,
Alcee,5888561,6/20/18,5868856,Eielson Afb,Bike Accident,0,,,,,,,
Almond,5865658,5/31/18,5890077,Ekwok,Cars Accident,0,,,,,,,
Alvy,5878560,5/4/18,5889102,Elfin Cove,Bike & Car Accident,1,,,,,,,
Amon,5882492,7/26/18,5887676,Elim,Cars Accident,1,,,,,,,
Ansel,5885728,6/18/18,5883353,Elmendorf Afb,Bike & Car Accident,0,,,,,,,
Bayard,5884009,3/28/18,5875755,Emmonak,Cars Accident,0,,,,,,,
Benny,5882601,7/27/18,5885658,Ester,Bike & Car Accident,0,,,,,,,
Bluford,5883136,6/1/18,5888057,Fairbanks,Bike Accident,0,,,,,,,
Booker,5878867,6/17/18,5887416,False Pass,Cars Accident,0,,,,,,,
Burnett,5878810,6/16/18,5887614,Fort Greely,Bike & Car Accident,0,,,,,,,
Burney,5872824,6/18/18,5887276,Fort Richardson,Bike Accident,0,,,,,,,
Caswell,5884274,7/7/18,5888909,Fort Wainwright,Bike Accident,0,,,,,,,
Claudie,5885649,5/14/18,5875209,Fort Yukon,Bike & Car Accident,1,,,,,,,
Conley,5861961,6/18/18,5881467,Gakona,Bike & Car Accident,1,,,,,,,
Cortez,5877604,7/21/18,5883199,Galena,Cars Accident,0,,,,,,,
Dionicio,5872271,5/29/17,5886293,Gambell,Cars Accident,0,,,,,,,
Donnie,5883824,6/14/18,5874731,Girdwood,Cars Accident,0,,,,,,,
Eldred,5887271,5/1/18,5885411,Glennallen,Bike Accident,0,,,,,,,
Ell,5877670,5/19/18,5885470,Goodnews Bay,Bike Accident,0,,,,,,,
Ellery,5886997,5/31/18,5889796,Grayling,Cars Accident,0,,,,,,,
Ellwood,5886628,3/13/18,5890004,Gustavus,Cars Accident,0,,,,,,,
Elva,5887804,6/16/18,5881722,Haines,Bike & Car Accident,0,,,,,,,
Emmit,5880966,6/7/18,5887159,Healy,Bike & Car Accident,1,,,,,,,
Erle,5889917,7/9/18,5888230,Holy Cross,Cars Accident,1,,,,,,,
Essex,5889340,7/14/18,5889283,Homer,Bike & Car Accident,0,,,,,,,
Ewell,5883965,6/9/18,5890470,Hoonah,Bike Accident,0,,,,,,,
Ewin,5889853,7/14/18,5880926,Hooper Bay,Cars Accident,0,,,,,,,
Fabian,5885758,6/29/18,5889081,Hope,Bike & Car Accident,0,,,,,,,
Florencio,5884397,6/27/18,5877749,Houston,Cars Accident,0,,,,,,,
Fremont,5885601,7/24/18,5868484,Hughes,Cars Accident,0,,,,,,,
Gaines,5882457,5/30/18,5867870,Huslia,Bike & Car Accident,0,,,,,,,
Garnet,5882597,7/23/18,5865947,Hydaburg,Bike Accident,0,,,,,,,
Gaylord,5877955,7/15/18,5871146,Hyder,Cars Accident,1,,,,,,,
German,5871522,7/10/18,5889631,Iliamna,Bike & Car Accident,1,,,,,,,
Greene,5890037,6/15/18,5888162,Indian,Bike Accident,0,,,,,,,
Brady,5881883,5/22/18,5888838,Juneau,Bike Accident,0,,,,,,,
Festus,5862371,7/23/18,5887824,Kake,Bike & Car Accident,0,,,,,,,
Jewell,5890226,7/11/18,5890502,Kaktovik,Bike & Car Accident,0,,,,,,,
Odell,5878060,7/28/18,5882220,Kalskag,Cars Accident,0,,,,,,,
Rosco,5881781,5/16/18,5885306,Kaltag,Cars Accident,0,,,,,,,
Bernice,5881703,5/24/18,5885234,Karluk,Cars Accident,0,,,,,,,
Chauncy,5881905,6/27/18,5870564,Kasigluk,Bike Accident,0,,,,,,,
Delmer,5885893,5/11/18,5884743,Kasilof,Bike Accident,1,,,,,,,
Effie,5873981,7/17/18,5888286,Kenai,Cars Accident,1,,,,,,,
Ellie,5881981,7/22/18,5875694,Ketchikan,Cars Accident,0,,,,,,,
Jimmy,5888959,6/11/18,5873661,Kiana,Bike & Car Accident,0,,,,,,,
Lars,5747109,5/7/18,5882604,King Cove,Bike & Car Accident,0,,,,,,,
Milas,5881448,7/21/18,5881851,King Salmon,Cars Accident,0,,,,,,,
Miner,5870485,5/23/18,5885177,Kipnuk,Bike & Car Accident,0,,,,,,,
Rogers,5875129,6/22/18,5888133,Kivalina,Bike Accident,0,,,,,,,
Sarah,5877983,3/22/18,5888983,Klawock,Cars Accident,0,,,,,,,
Wess,5858230,6/22/18,5880336,Kobuk,Bike & Car Accident,0,,,,,,,
Woody,5881773,4/16/18,5888826,Kodiak,Cars Accident,1,,,,,,,
Bryan,5879637,7/24/18,5875689,Kongiganak,Bike & Car Accident,1,,,,,,,
Douglass,5886273,7/23/18,5879471,Kotlik,Cars Accident,0,,,,,,,
Hilton,5887466,6/4/18,5883376,Kotzebue,Bike & Car Accident,0,,,,,,,
Irvine,5880228,6/6/18,5885744,Koyuk,Bike Accident,0,,,,,,,
Isidor,5887487,7/18/18,5887558,Koyukuk,Cars Accident,0,,,,,,,
Jeptha,5884578,6/11/18,5887457,Kwethluk,Bike & Car Accident,0,,,,,,,
Mabel,5884130,6/25/18,5885945,Kwigillingok,Cars Accident,0,,,,,,,
Malcom,5889491,6/6/18,5874004,Lake Minchumina,Cars Accident,0,,,,,,,
Mell,5877709,6/2/18,5885983,Larsen Bay,Bike & Car Accident,0,,,,,,,
Olof,5889160,7/16/18,5880270,Levelock,Bike Accident,1,,,,,,,
Robt,5887544,7/26/18,5886127,Lower Kalskag,Cars Accident,1,,,,,,,
Ronald,5886478,5/22/18,5863604,Manley Hot Springs,Bike & Car Accident,0,,,,,,,
Simpson,5881541,7/6/18,5887228,Manokotak,Bike Accident,0,,,,,,,
Spurgeon,5875746,4/26/18,5872346,Marshall,Bike Accident,0,,,,,,,
Tandy,5889435,5/25/18,5883509,Mc Grath,Bike & Car Accident,0,,,,,,,
Thurlow,5886830,5/10/18,5885355,Mekoryuk,Bike & Car Accident,0,,,,,,,
Toy,5890432,1/11/18,5883765,Metlakatla,Cars Accident,0,,,,,,,
Winston,5874328,6/7/18,5888169,Meyers Chuck,Cars Accident,0,,,,,,,
Zeno,5876486,7/13/18,5871415,Minto,Cars Accident,0,,,,,,,
Alphonsus,5884073,6/30/18,5881901,Moose Pass,Bike Accident,1,,,,,,,
Alvan,5873413,6/13/18,5887202,Mountain Village,Bike Accident,1,,,,,,,
Amado,5887993,4/21/18,5890238,Naknek,Cars Accident,0,,,,,,,
Ananias,5889057,6/6/18,5889771,Napakiak,Cars Accident,0,,,,,,,
Ancel,5880362,6/25/18,5885134,Nenana,Bike & Car Accident,0,,,,,,,
Atlas,5872190,3/20/18,5888945,New Stuyahok,Bike & Car Accident,0,,,,,,,
Banks,5888958,7/19/18,5880873,Nightmute,Cars Accident,0,,,,,,,
Barry,5876014,5/6/18,5889119,Nikiski,Cars Accident,0,,,,,,,
Blake,5883087,6/7/18,5890020,Nikolai,Bike & Car Accident,0,,,,,,,
Blanchard,5860857,7/2/18,5880310,Nikolski,Bike Accident,0,,,,,,,
Bose,5883084,7/18/18,5876235,Ninilchik,Cars Accident,1,,,,,,,
Captain,5867140,5/12/18,5875530,Noatak,Bike & Car Accident,1,,,,,,,
Ceasar,5889678,6/10/18,5890377,Nome,Bike Accident,0,,,,,,,
Chance,5889194,7/2/18,5887735,Nondalton,Bike Accident,0,,,,,,,
Chancey,5878770,6/18/18,5887903,Noorvik,Bike & Car Accident,0,,,,,,,
Charle,5879320,7/9/18,5875235,North Pole,Bike & Car Accident,0,,,,,,,
Clide,5888428,5/8/18,5878409,Northway,Cars Accident,0,,,,,,,
Dink,5880606,7/2/18,5878378,Nuiqsut,Cars Accident,0,,,,,,,
Ella,5883337,7/14/18,5882932,Nulato,Cars Accident,0,,,,,,,
Emett,5879409,4/6/18,5886436,Nunam Iqua,Bike Accident,0,,,,,,,
Erick,5878365,4/29/18,5888017,Nunapitchuk,Bike Accident,1,,,,,,,
Estill,5887761,7/16/18,5873595,Old Harbor,Cars Accident,1,,,,,,,
Fenton,5890207,5/17/18,5873131,Ouzinkie,Cars Accident,0,,,,,,,
Gale,5875739,6/7/18,5878306,Palmer,Bike & Car Accident,0,,,,,,,
Gay,5885809,4/18/18,5881024,Pedro Bay,Bike & Car Accident,0,,,,,,,
Grove,5869479,6/18/18,5890431,Pelican,Cars Accident,0,,,,,,,
Hanson,5876675,7/16/18,5883352,Perryville,Bike & Car Accident,0,,,,,,,
Harlie,5873217,5/14/18,5883369,Petersburg,Bike Accident,0,,,,,,,
Harlow,5844312,7/3/18,5870204,Pilot Point,Cars Accident,0,,,,,,,
Haskell,5879594,5/17/18,5888367,Pilot Station,Cars Accident,0,,,,,,,
Ingram,5887231,6/3/18,5883201,Platinum,Bike & Car Accident,1,,,,,,,
Iva,5884604,5/24/18,5873980,Point Baker,Bike Accident,1,,,,,,,
Jep,5881046,6/28/18,5885681,Point Hope,Cars Accident,0,,,,,,,
Joy,5868388,6/29/18,5888459,Point Lay,Bike & Car Accident,0,,,,,,,
Lessie,5879474,7/5/18,5888083,Port Alexander,Bike Accident,0,,,,,,,
Lillie,5883264,5/31/18,5888102,Port Alsworth,Bike Accident,0,,,,,,,
Linton,5860268,7/2/18,5880243,Port Heiden,Bike & Car Accident,0,,,,,,,
Linzy,5888553,7/9/18,5887722,Port Lions,Bike & Car Accident,0,,,,,,,
Little,5871897,5/23/18,5881663,Prudhoe Bay,Cars Accident,0,,,,,,,
Loney,5879564,6/5/18,5889133,Quinhagak,Cars Accident,0,,,,,,,
Loring,5884802,7/24/18,5873305,Rampart,Cars Accident,1,,,,,,,
Lovie,5888200,7/2/18,5881065,Red Devil,Bike Accident,1,,,,,,,
Lute,5873621,4/12/18,5871122,Ruby,Bike Accident,0,,,,,,,
Mace,5880325,6/10/18,5883585,Russian Mission,Cars Accident,0,,,,,,,
Matthias,5884909,7/18/18,5880923,Saint George Island,Cars Accident,0,,,,,,,
Meredith,5882091,6/6/18,5888912,Saint Marys,Bike & Car Accident,0,,,,,,,
Benjamen,5886328,7/21/18,5883941,Saint Michael,Bike & Car Accident,0,,,,,,,
Jens,5872515,7/16/18,5886260,Saint Paul Island,Cars Accident,0,,,,,,,
Oakley,5885005,6/9/18,5889509,Salcha,Bike & Car Accident,0,,,,,,,
Whitney,5887506,5/9/18,5868403,Sand Point,Bike Accident,0,,,,,,,
Donaciano,5864872,7/17/18,5874754,Savoonga,Cars Accident,1,,,,,,,
Hayward,5870051,6/20/18,5886800,Scammon Bay,Bike & Car Accident,1,,,,,,,
Loran,5887868,6/5/18,5882466,Selawik,Cars Accident,0,,,,,,,
Love,5874786,6/21/18,5885972,Seldovia,Bike & Car Accident,0,,,,,,,
Son,5879615,7/16/18,5885798,Seward,Bike & Car Accident,0,,,,,,,
Tollie,5867573,7/21/18,5872965,Shageluk,Cars Accident,0,,,,,,,
Vollie,5882082,7/13/18,5876357,Shaktoolik,Bike & Car Accident,0,,,,,,,
Bonnie,5887662,6/13/18,5887087,Shishmaref,Bike Accident,0,,,,,,,
Catherine,5873797,6/7/18,5874936,Shungnak,Cars Accident,0,,,,,,,
Ebenezer,5885324,6/5/18,5884768,Sitka,Bike & Car Accident,0,,,,,,,
Ewald,5874849,6/7/18,5887539,Skagway,Cars Accident,1,,,,,,,
Herb,5878519,6/7/18,5884995,Skwentna,Bike & Car Accident,1,,,,,,,
Julia,5876436,7/28/18,5890196,Sleetmute,Bike Accident,0,,,,,,,
Silvester,5884330,6/21/18,5880950,Soldotna,Cars Accident,0,,,,,,,
Stafford,5884430,6/5/18,5887257,South Naknek,Bike & Car Accident,0,,,,,,,
Sullivan,5885602,5/26/18,5886247,Stebbins,Bike Accident,0,,,,,,,
Thurston,5878027,6/7/18,5867540,Sterling,Bike Accident,0,,,,,,,
Wayman,5884971,5/14/18,5886109,Stevens Village,Bike & Car Accident,0,,,,,,,
Wes,5886186,4/18/18,5878437,Sutton,Bike & Car Accident,0,,,,,,,
Winnie,5876129,4/18/18,5889696,Takotna,Cars Accident,0,,,,,,,
Burrel,5879023,7/18/18,5882874,Talkeetna,Cars Accident,1,,,,,,,
Cleon,5889602,6/30/18,5882178,Tanacross,Cars Accident,1,,,,,,,
Dozier,5885026,7/25/18,5885928,Tanana,Bike Accident,0,,,,,,,
Elden,5866098,5/23/18,5884190,Tatitlek,Bike Accident,0,,,,,,,
Fulton,5880306,6/14/18,5883832,Teller,Cars Accident,0,,,,,,,
Helmer,5888410,6/6/18,5874038,Tenakee Springs,Cars Accident,0,,,,,,,
Hill,5879304,7/17/18,5885988,Thorne Bay,Bike & Car Accident,0,,,,,,,
Hjalmer,5888990,5/6/18,5889052,Togiak,Bike & Car Accident,0,,,,,,,
Ignatz,5887888,6/19/18,5876938,Tok,Cars Accident,0,,,,,,,
Kelley,5880182,7/26/18,5888817,Toksook Bay,Bike & Car Accident,0,,,,,,,
Marlin,5872978,7/5/18,5887173,Trapper Creek,Bike Accident,1,,,,,,,
Moody,5888004,3/10/18,5868893,Tuluksak,Cars Accident,1,,,,,,,
Myrtle,5882491,7/10/18,5885337,Tuntutuliak,Bike & Car Accident,0,,,,,,,
Namon,5879169,5/7/18,5884614,Tununak,Cars Accident,0,,,,,,,
Odin,5882804,5/8/18,5886192,Two Rivers,Cars Accident,0,,,,,,,
Odis,5887785,7/20/18,5885951,Tyonek,Bike Accident,0,,,,,,,
Oley,5888977,7/4/18,5874122,Unalakleet,Bike Accident,0,,,,,,,
Osborn,5887435,5/22/18,5876006,Unalaska,Cars Accident,0,,,,,,,
Osie,5881191,7/6/18,5871062,Valdez,Cars Accident,0,,,,,,,
Prentice,5879565,7/6/18,5872029,Venetie,Bike & Car Accident,0,,,,,,,
Purl,5878837,7/12/18,5889447,Wainwright,Bike & Car Accident,1,,,,,,,
Roby,5879485,4/23/18,5886277,Wales,Cars Accident,1,,,,,,,
Shep,5879587,7/19/18,5886925,Ward Cove,Bike & Car Accident,0,,,,,,,
Simmie,5890529,6/20/18,5882813,Wasilla,Bike Accident,0,,,,,,,
Stanislaus,5882873,5/1/18,5881424,White Mountain,Cars Accident,0,,,,,,,
Vander,5879068,4/6/18,5880056,Whittier,Bike & Car Accident,0,,,,,,,
Zollie,5876937,6/20/18,5880275,Willow,Cars Accident,0,,,,,,,
Abb,5879589,7/15/18,5882528,Wrangell,Bike & Car Accident,0,,,,,,,
Ah,5873839,7/17/18,5889743,Yakutat,Bike Accident,0,,,,,,,
Aleck,5867612,5/14/18,5884561,Akhiok,Cars Accident,0,,,,,,,
Beecher,5867519,7/24/18,5887014,Anchorage municipality,Bike & Car Accident,1,,,,,,,
Blain,5888417,7/10/18,5886402,Bettles,Bike Accident,1,,,,,,,
Bowman,5884648,6/5/18,5890263,Chuathbaluk,Bike Accident,0,,,,,,,
Bunk,5889944,5/11/18,5883767,Clark's Point,Bike & Car Accident,0,,,,,,,
Burgess,5875997,7/13/18,5889450,Diomede,Bike & Car Accident,0,,,,,,,
Carol,5881235,6/26/18,5871067,Edna Bay,Cars Accident,0,,,,,,,
Charly,5879213,5/16/18,5885238,Golovin,Cars Accident,0,,,,,,,
Clell,5888106,7/24/18,5885185,Juneau and borough,Cars Accident,0,,,,,,,
Cody,5871828,5/5/18,5869092,Kachemak,Bike Accident,0,,,,,,,
Lamar,5882242,5/15/18,5886622,Kasaan,Bike Accident,0,,,,,,,
Worley,5890183,5/16/18,5875170,Kupreanof,Cars Accident,1,,,,,,,
Arley,5885406,7/17/18,5885375,McGrath,Cars Accident,1,,,,,,,
Nicolas,5857635,7/25/18,5877090,Napaskiak,Bike & Car Accident,0,,,,,,,
Terence,5886480,7/7/18,5889952,Newhalen,Bike & Car Accident,0,,,,,,,
Claire,5871926,5/23/18,5889103,St. George,Cars Accident,0,,,,,,,
Earley,5872349,7/12/18,5889475,St. Mary's,Bike & Car Accident,0,,,,,,,
Elzy,5888714,5/23/18,5869545,St. Michael,Bike Accident,0,,,,,,,
Fielding,5885363,4/28/18,5887211,St. Paul,Cars Accident,0,,,,,,,
Gertrude,5875703,4/19/18,5887473,Saxman,Bike & Car Accident,0,,,,,,,
Nora,5885799,6/10/18,5884482,Sitka and borough,Cars Accident,0,,,,,,,
Norton,5885828,7/3/18,5872009,Upper Kalskag,Cars Accident,1,,,,,,,
Clemens,5887048,6/27/18,5879091,Wrangell and borough,Bike & Car Accident,1,,,,,,,
Earlie,5868534,7/16/18,5888701,Aguila,Bike Accident,0,,,,,,,
Ellen,5888520,6/27/18,5875762,Ajo,Cars Accident,0,,,,,,,
Epifanio,5882409,7/22/18,5887556,Alpine,Bike & Car Accident,0,,,,,,,
Glover,5870367,7/13/18,5883467,Amado,Cars Accident,0,,,,,,,
Lark,5864835,4/26/18,5867614,Apache Junction,Cars Accident,0,,,,,,,
Laurance,5882422,6/25/18,5884224,Arivaca,Bike & Car Accident,0,,,,,,,
Leigh,5887552,6/28/18,5889874,Arizona City,Bike Accident,0,,,,,,,
Braxton,5888168,5/29/18,5888184,Arlington,Cars Accident,0,,,,,,,
Cleave,5873990,6/13/18,5879427,Ash Fork,Bike & Car Accident,1,,,,,,,
Colon,5889651,7/10/18,5875276,Avondale,Bike Accident,1,,,,,,,
Constantine,5886459,5/26/18,5867200,Bagdad,Bike Accident,0,,,,,,,
Dominic,5878871,6/1/18,5884357,Bapchule,Bike & Car Accident,0,,,,,,,
Emiliano,5873471,7/23/18,5889378,Bellemont,Bike & Car Accident,0,,,,,,,
Fleet,5887296,4/8/18,5880462,Benson,Cars Accident,0,,,,,,,
Franklyn,5883690,7/16/18,5881696,Bisbee,Cars Accident,0,,,,,,,
Hobart,5874553,5/25/18,5888405,Black Canyon City,Cars Accident,0,,,,,,,
Josephine,5889710,6/26/18,5883379,Blue,Bike Accident,0,,,,,,,
Laverne,5871758,5/9/18,5879370,Blue Gap,Bike Accident,0,,,,,,,
Lillard,5874085,5/15/18,5890455,Bouse,Cars Accident,1,,,,,,,
Lim,5874521,7/7/18,5883205,Bowie,Cars Accident,1,,,,,,,
Merlin,5888023,7/2/18,5871212,Buckeye,Bike & Car Accident,0,,,,,,,
Milan,5889854,6/26/18,5883463,Bullhead City,Bike & Car Accident,0,,,,,,,
Nim,5885880,5/2/18,5884076,Bylas,Cars Accident,0,,,,,,,
Norbert,5876149,6/3/18,5875280,Cameron,Bike & Car Accident,0,,,,,,,
North,5886964,7/2/18,5885936,Camp Verde,Bike Accident,0,,,,,,,
Orland,5876207,4/16/18,5882132,Carefree,Cars Accident,0,,,,,,,
Orvis,5870024,3/27/18,5881209,Casa Grande,Bike & Car Accident,0,,,,,,,
Reason,5868054,6/19/18,5884591,Cashion,Cars Accident,0,,,,,,,
Rob,5880288,3/27/18,5876946,Catalina,Cars Accident,1,,,,,,,
Virge,5885321,5/15/18,5882893,Cave Creek,Bike & Car Accident,1,,,,,,,
Zenas,5883977,5/6/18,5881460,Central,Bike Accident,0,,,,,,,
Ada,5887718,7/6/18,5876438,Chambers,Cars Accident,0,,,,,,,
Alejandro,5884140,5/4/18,5879440,Chandler,Bike & Car Accident,0,,,,,,,
Atha,5889088,4/8/18,5888961,Chandler Heights,Bike Accident,0,,,,,,,
Audie,5887209,6/19/18,5890232,Chinle,Bike Accident,0,,,,,,,
Boyce,5869510,6/4/18,5864782,Chino Valley,Bike & Car Accident,0,,,,,,,
Brent,5883256,7/24/18,5884699,Chloride,Bike & Car Accident,0,,,,,,,
Burdette,5884353,5/4/18,5877272,Cibecue,Cars Accident,0,,,,,,,
Cash,5877125,7/13/18,5881194,Cibola,Cars Accident,1,,,,,,,
Chase,5881002,5/23/18,5886769,Clarkdale,Cars Accident,1,,,,,,,
Clive,5886686,7/14/18,5867122,Clay Springs,Bike Accident,0,,,,,,,
Courtney,5876960,6/25/18,5885002,Claypool,Bike Accident,0,,,,,,,
Cris,5878346,6/20/18,5865753,Clifton,Cars Accident,0,,,,,,,
Dawson,5889147,7/2/18,5890545,Cochise,Cars Accident,0,,,,,,,
Drury,5865027,6/12/18,5887408,Colorado City,Bike & Car Accident,0,,,,,,,
Duane,5887814,6/28/18,5888605,Concho,Bike & Car Accident,0,,,,,,,
Elon,5876821,5/24/18,5890497,Congress,Cars Accident,0,,,,,,,
Estevan,5883796,6/30/18,5889281,Coolidge,Bike & Car Accident,0,,,,,,,
Fitzhugh,5872624,7/6/18,5884756,Cornville,Bike Accident,1,,,,,,,
Fount,5874020,5/23/18,5869677,Cortaro,Cars Accident,1,,,,,,,
Gray,5885940,5/25/18,5877101,Cottonwood,Bike & Car Accident,0,,,,,,,
Terrence,5884767,6/12/18,5880912,Crown King,Cars Accident,0,,,,,,,
Bartley,5883574,4/3/18,5887572,Dateland,Cars Accident,0,,,,,,,
Shedrick,5871028,7/17/18,5885982,Dennehotso,Bike & Car Accident,0,,,,,,,
Dixie,5878524,5/27/18,5881206,Dewey,Bike Accident,0,,,,,,,
Ignacio,5885078,7/20/18,5872892,Dolan Springs,Cars Accident,0,,,,,,,
Merl,5866791,7/6/18,5888966,Douglas,Bike & Car Accident,0,,,,,,,
Nehemiah,5862154,7/23/18,5890042,Dragoon,Bike Accident,0,,,,,,,
Norwood,5882172,6/11/18,5870832,Duncan,Bike Accident,1,,,,,,,
Raphael,5862171,6/25/18,5873605,Eagar,Bike & Car Accident,1,,,,,,,
Reno,5874271,7/3/18,5886620,Eden,Bike & Car Accident,0,,,,,,,
Rudy,5871885,6/22/18,5881811,Ehrenberg,Cars Accident,0,,,,,,,
Rueben,5885768,6/19/18,5884964,El Mirage,Cars Accident,0,,,,,,,
Sylvan,5871688,7/22/18,5884761,Elfrida,Cars Accident,0,,,,,,,
Virgle,5865030,4/21/18,5878711,Elgin,Bike Accident,0,,,,,,,
Charls,5882140,3/13/18,5885121,Eloy,Bike Accident,0,,,,,,,
Cole,5878779,5/18/18,5873298,Flagstaff,Cars Accident,0,,,,,,,
Elby,5889487,6/22/18,5875995,Florence,Cars Accident,0,,,,,,,
Ferman,5871679,7/10/18,5884692,Forest Lakes,Bike & Car Accident,1,,,,,,,
Fern,5887368,5/24/18,5870878,Fort Apache,Bike & Car Accident,1,,,,,,,
Florian,5876330,6/27/18,5887940,Fort Defiance,Cars Accident,0,,,,,,,
Fuller,5887461,6/17/18,5887578,Fort Huachuca,Bike & Car Accident,0,,,,,,,
